Geo Point;Geo Shape;id_sir_gp_ecrase_faune;axe;cumuld;plod;absd;date_releve;espece;commune;commentaires;animal_vivant;nb_individus;date_creation;date_modif;source_releve
45.2789985667,5.61780851387;"{""type"": ""Point"", ""coordinates"": [5.617808513869766, 45.278998566664114]}";1134;D1532;44404;42;880;2018-08-28;Renard roux;Veurey;;NON;1;2019-02-14;2020-03-05;D38
44.8908447199,5.61697437811;"{""type"": ""Point"", ""coordinates"": [5.61697437810511, 44.890844719890744]}";594;D1075;131646;124;900;2015-12-18;Sanglier;Roissard;;NON;1;2016-03-08;2020-03-05;D38
45.4673928829,4.79054313063;"{""type"": ""Point"", ""coordinates"": [4.790543130629419, 45.46739288293327]}";516;D4;13477;13;600;2015-11-03;Rapace indéterminé;Chonas-l'Amballan;;Oui;1;2015-11-09;2020-03-05;D38
44.8749980181,5.62521244694;"{""type"": ""Point"", ""coordinates"": [5.625212446940933, 44.874998018130924]}";1373;D1075;133755;127;0;2017-09-25;Chevreuil européen;Saint Michel Les Portes;;NON;1;2020-03-05;2020-03-05;D38
45.3673699003,5.63189561512;"{""type"": ""Point"", ""coordinates"": [5.631895615122729, 45.36736990025921]}";158;D520;37298;37;100;2012-10-10;Sanglier;Saint-Étienne-de-Crossey;;;;2013-04-08;2020-03-05;D38
44.8164441365,5.7156752664;"{""type"": ""Point"", ""coordinates"": [5.715675266402538, 44.81644413648657]}";1473;D34D;2259;2;300;2019-06-12;Blaireau européen;Mens;;NON;1;2020-03-05;2020-03-05;D38
45.7661589791,5.09170324695;"{""type"": ""Point"", ""coordinates"": [5.091703246951165, 45.76615897914277]}";2812;D517;400;0;400;2019-02-20;Blaireau européen;Villette d'Anthon;;NON;3;2020-09-07;2020-09-07;D38
45.1589252328,5.20314405938;"{""type"": ""Point"", ""coordinates"": [5.203144059384885, 45.15892523276045]}";829;D68A;1004;1;0;2016-12-11;Autres;Montagne;Lièvre;OUI;1;2018-04-04;2020-03-05;D38
44.9369097629,5.64080182085;"{""type"": ""Point"", ""coordinates"": [5.640801820851321, 44.93690976291732]}";1411;D1075;125427;119;0;2018-06-14;Renard roux;MONESTIER DE CLERMONT;;NON;1;2020-03-05;2020-03-05;D38
45.6465707385,5.55146668731;"{""type"": ""Point"", ""coordinates"": [5.551466687313771, 45.64657073852763]}";2766;D40D;1792;1;800;2019-01-18;Chevreuil européen;LES AVENIERES;;NON;1;2020-09-07;2020-09-07;D38
45.6096988049,5.22462284546;"{""type"": ""Point"", ""coordinates"": [5.224622845460516, 45.60969880494899]}";420;D1006;14717;13;950;2014-05-17;Chevreuil européen;;;;;2015-03-10;2020-03-05;D38
44.9046215713,5.62274158789;"{""type"": ""Point"", ""coordinates"": [5.622741587885079, 44.90462157133962]}";1378;D1075;129580;123;0;2017-10-03;Martre;ROISSARD;;NON;1;2020-03-05;2020-03-05;D38
44.8345013753,5.74239288198;"{""type"": ""Point"", ""coordinates"": [5.742392881981517, 44.83450137532505]}";588;D526;17019;17;100;;Chevreuil européen;Mens;;NON;1;2016-03-08;2020-03-05;D38
44.8412385377,5.75464163691;"{""type"": ""Point"", ""coordinates"": [5.754641636911471, 44.841238537742676]}";1508;D526;19919;19;950;2019-10-16;Chevreuil européen;Saint-Jean-d'Hérans;Mâle;NON;1;2020-03-05;2020-03-05;D38
44.8606361854,5.76706813482;"{""type"": ""Point"", ""coordinates"": [5.767068134815861, 44.86063618541751]}";1512;D526;23184;23;200;2019-10-21;Blaireau européen;Saint-Jean-d'Hérans;;NON;1;2020-03-05;2020-03-05;D38
45.3410827541,5.53554980075;"{""type"": ""Point"", ""coordinates"": [5.535549800750398, 45.341082754135535]}";919;D1085;40508;40;500;2015-12-04;Autres;Charnècle;Lièvre;NON;1;2018-04-04;2020-03-05;D38
45.3670214426,5.68543880105;"{""type"": ""Point"", ""coordinates"": [5.685438801047764, 45.36702144259707]}";252;D520;43788;43;600;2013-09-04;Renard roux;Saint-Joseph-de-Rivière;;;;2014-04-02;2020-03-05;D38
45.0877028979,5.52399037786;"{""type"": ""Point"", ""coordinates"": [5.523990377863165, 45.087702897856964]}";88;D106;44506;45;0;2008-07-07;Blaireau européen;Saint-Nizier-du-Moucherotte;;;;2012-12-03;2020-03-05;D38
45.7661650502,5.09435499027;"{""type"": ""Point"", ""coordinates"": [5.094354990269421, 45.766165050171566]}";2806;D517;600;0;600;2019-01-18;Renard roux;Villette d'Anthon;;NON;1;2020-09-07;2020-09-07;D38
44.8989287512,5.89934145568;"{""type"": ""Point"", ""coordinates"": [5.89934145567906, 44.89892875124224]}";1179;D526;37948;38;100;2018-12-26;Ecureuil roux;valbonnais;Ecureuil;OUI;1;2019-02-18;2020-03-05;D38
45.1318743963,5.52980190813;"{""type"": ""Point"", ""coordinates"": [5.529801908125089, 45.131874396328286]}";1246;D106;38493;39;0;2017-05-09;Autres;Lans en Vercors;Lièvre;NON;1;2019-04-30;2020-03-05;D38
44.8147188274,5.72816201394;"{""type"": ""Point"", ""coordinates"": [5.728162013935282, 44.814718827438874]}";896;D526;11520;11;700;2016-02-27;Blaireau européen;Mens;;OUI;1;2018-04-04;2020-03-05;D38
45.1748665656,5.64797829493;"{""type"": ""Point"", ""coordinates"": [5.647978294928416, 45.174866565568124]}";642;D106;14454;14;800;2015-07-13;Renard roux;Saint-Nizier-du-Moucherotte;;NON;1;2016-03-08;2020-03-05;D38
45.3910857084,5.52425699766;"{""type"": ""Point"", ""coordinates"": [5.524256997664634, 45.39108570843005]}";986;D50;5916;6;0;2016-06-04;Renard roux;St Blaise du Buis;;NON;1;2018-04-04;2020-03-05;D38
44.9011092451,5.77624755304;"{""type"": ""Point"", ""coordinates"": [5.776247553038417, 44.90110924505744]}";722;D116;529;1;200;2016-01-18;Renard roux;La Mure;;NON;1;2018-04-04;2020-03-05;D38
45.5140856985,5.30396953042;"{""type"": ""Point"", ""coordinates"": [5.303969530418662, 45.51408569850756]}";440;D1085;8555;8;500;2014-10-13;Chevreuil européen;;;;;2015-03-10;2020-03-05;D38
